站號,地區,站名,lng,lat,總車位,可借車位數,可還空位數,營運狀態,可借車佔比
1001,新店區,大鵬華城,121.53398,24.99116,28,9,19,1,0.32142857142857145
1002,汐止區,汐止火車站,121.662748,25.068914,44,30,11,1,0.6818181818181818
1003,汐止區,汐止區公所,121.658301,25.064162,46,31,13,1,0.6739130434782609
1004,汐止區,國泰綜合醫院,121.662555,25.07315,48,26,22,1,0.5416666666666666
1005,新店區,裕隆公園,121.546319,24.979649,32,20,12,1,0.625
1006,新店區,捷運大坪林站(5號出口),121.543620,24.982830,78,24,54,1,0.3076923076923077
1007,汐止區,汐科火車站(北),121.653019,25.064106,26,10,15,1,0.38461538461538464
1008,三重區,興華公園,121.483101,25.060125,34,5,35,1,0.14705882352941177
1009,三重區,三重國民運動中心,121.488489,25.054391,68,39,28,1,0.5735294117647058
1010,三重區,捷運三重站(3號出口),121.484739,25.055883,34,10,13,1,0.29411764705882354
1011,汐止區,樟樹國小,121.640367,25.066688,48,31,17,1,0.6458333333333334
1012,汐止區,金龍國小,121.628908,25.0688,52,32,20,1,0.6153846153846154
1013,汐止區,白雲國小,121.618888,25.047578,36,20,16,1,0.5555555555555556
1014,汐止區,東勢宜興活動中心,121.624333,25.039031,52,14,38,1,0.2692307692307692
1015,新莊區,後港公園,121.428348,25.025358,40,8,26,1,0.2
1016,新莊區,福營行政中心,121.423870,25.0241250,42,14,20,1,0.3333333333333333
1017,新莊區,西盛公園,121.428048,25.017113,36,3,32,1,0.08333333333333333
1018,新店區,忠誠里(北新路2段97巷),121.542779,24.974272,20,0,15,1,0
1019,蘆洲區,仁愛廣場,121.471621,25.090565,50,6,44,1,0.12
1020,三重區,重陽國小,121.484337 ,25.066245 ,36,1,35,1,0.027777777777777776
1021,三重區,明志國中,121.488982,25.063396,50,5,45,1,0.1
1022,三重區,三重商工,121.480705,25.068681,64,45,17,1,0.703125
1023,新莊區,捷運新莊站(1號出口),121.452069 ,25.036152 ,58,26,8,1,0.4482758620689655
1024,汐止區,原興廣場,121.633149,25.065042,52,20,32,1,0.38461538461538464
1025,汐止區,文化白雲公園,121.655207,25.056875,68,7,59,1,0.10294117647058823
1026,中和區,秀山國小,121.521988 ,24.996151 ,62,17,45,1,0.27419354838709675
1027,中和區,捷運永安市場站,121.511588 ,25.001013 ,60,34,21,1,0.5666666666666667
1028,永和區,福和國中,121.520930,25.005952,58,7,51,1,0.1206896551724138
1029,永和區,仁愛公園,121.505825,25.009838,60,6,54,1,0.1
1030,中和區,中和公園,121.514350 ,25.000726 ,44,0,0,1,0
1031,汐止區,金龍公園,121.631525 ,25.069473,52,3,48,1,0.057692307692307696
1032,蘆洲區,重陽公園,121.483618,25.085688,50,10,33,1,0.2
1033,蘆洲區,捷運三民高中站(1號出口),121.472722 ,25.085815 ,66,24,42,1,0.36363636363636365
1034,蘆洲區,中原公園,121.463894 ,25.083316 ,58,12,46,1,0.20689655172413793
1035,新莊區,丹鳳派出所,121.414662 ,25.027694 ,38,10,28,1,0.2631578947368421
1036,新店區,小金門友誼公園,121.538140,24.977227,48,35,11,1,0.7291666666666666
1037,新店區,中興寶橋路口,121.546870 ,24.976180 ,52,30,22,1,0.5769230769230769
1038,新莊區,新莊棒球場,121.446053 ,25.041603 ,74,12,61,1,0.16216216216216217
1039,永和區,頂溪國小,121.511261,25.015811,36,13,23,1,0.3611111111111111
1040,永和區,永和國小,121.517442 ,25.002272 ,30,18,12,1,0.6
1041,永和區,秀朗國小,121.522843 ,24.999392 ,40,18,22,1,0.45
1042,新店區,台北慈濟醫院,121.536887 ,24.985872 ,40,14,18,1,0.35
1043,永和區,捷運頂溪站(1號出口),121.515271 ,25.012176 ,36,12,24,1,0.3333333333333333
1044,永和區,保安永平路口,121.506471 ,25.012691 ,42,7,35,1,0.16666666666666666
1045,新店區,崇光女中,121.539554 ,24.972127 ,36,26,9,1,0.7222222222222222
1046,新店區,新店高中,121.534209 ,24.974181 ,42,16,24,1,0.38095238095238093
1047,新莊區,新莊文化藝術中心,121.444453 ,25.047150 ,48,40,8,1,0.8333333333333334
1048,新莊區,中華中原路口,121.451752,25.054232,58,7,51,1,0.1206896551724138
1049,三重區,新北高中,121.489525 ,25.087225 ,60,30,26,1,0.5
1050,新莊區,福壽公園,121.457746 ,25.051829 ,36,6,30,1,0.16666666666666666
1051,汐止區,保長公園,121.674342 ,25.079523 ,60,11,47,1,0.18333333333333332
1052,新店區,新店公有中央市場,121.527287,24.975308,28,2,25,1,0.07142857142857142
1053,永和區,永平高中,121.509092,25.009790,34,11,22,1,0.3235294117647059
